"item","date","price","trend_value","flag","sentiment","stars"
"B00OPY0QGA","2015-11-06","395","79.25","0.0","",""
"B00GOFU81Q","2015-11-06","199.99","79.25","0.0","",""
"B00OPY0QGA","2015-11-07","392.95","78.5","0.0","",""
"B00G4DSSN8","2015-11-07","302","78.5","0.0","",""
"B00GOFU81Q","2015-11-07","199.98","78.5","0.0","",""
"B00OPY0QGA","2015-11-08","391.99","77","0.0","",""
"B00GOFU81Q","2015-11-08","198.95","77","0.0","",""
"B00G4DSSN8","2015-11-08","302","77","0.0","",""
"B00OPY0QGA","2015-11-09","391.98","79.75","0.0","",""
"B00G4DSSN8","2015-11-09","302","79.75","0.0","",""
"B00GOFU81Q","2015-11-09","199.8","79.75","0.0","",""
"B00G4DSSN8","2015-11-10","302","81.125","0.0","",""
"B00OPY0QGA","2015-11-10","384.95","81.125","0.0","",""
"B00GOFU81Q","2015-11-10","199.68","81.125","0.0","",""
"B00OPY0QGA","2015-11-11","384","82.5","0.0","",""
"B00GOFU81Q","2015-11-11","213","82.5","0.0","",""
"B00G4DSSN8","2015-11-11","302","82.5","0.0","",""
"B00G4DSSN8","2015-11-12","302","83.1875","0.0","",""
"B00OPY0QGA","2015-11-12","382.99","83.1875","0.0","",""
"B00GOFU81Q","2015-11-12","204.48","83.1875","0.0","",""
"B00OPY0QGA","2015-11-13","381","83.875","0.0","",""
"B00G4DSSN8","2015-11-13","301.9","83.875","0.0","",""
"B00GOFU81Q","2015-11-13","199.68","83.875","0.0","",""
"B00G4DSSN8","2015-11-14","301.9","85.25","0.0","",""
"B00OPY0QGA","2015-11-14","380.9","85.25","0.0","",""
"B00GOFU81Q","2015-11-14","196","85.25","0.0","",""
"B00OPY0QGA","2015-11-15","377.6","88","0.0","",""
"B00G4DSSN8","2015-11-15","301.9","88","0.0","",""
"B00GOFU81Q","2015-11-15","195.99","88","0.0","",""
"B00GOFU81Q","2015-11-16","194.98","86.5","0.0","",""
"B00OPY0QGA","2015-11-16","377.4","86.5","0.0","",""
"B00G4DSSN8","2015-11-16","301.9","86.5","0.0","",""
"B00OPY0QGA","2015-11-17","384.39","85.75","0.0","",""
"B00G4DSSN8","2015-11-17","301.9","85.75","0.0","",""
"B00GOFU81Q","2015-11-17","192.14","85.75","0.0","",""
"B00G4DSSN8","2015-11-18","301.9","85","0.0","",""
"B00GOFU81Q","2015-11-18","191.29","85","0.0","",""
"B00OPY0QGA","2015-11-18","379.89","85","0.0","",""
"B00GOFU81Q","2015-11-19","188.99","84.625","0.0","",""
"B00G4DSSN8","2015-11-19","331.5","84.625","0.0","",""
"B00OPY0QGA","2015-11-19","369.99","84.625","0.0","",""
"B00G4DSSN8","2015-11-20","319","84.25","0.0","",""
"B00GOFU81Q","2015-11-20","188.49","84.25","0.0","",""
"B00OPY0QGA","2015-11-20","369.99","84.25","0.0","",""
"B00G4DSSN8","2015-11-21","308","83.5","0.0","",""
"B00GOFU81Q","2015-11-21","188.5","83.5","0.0","",""
"B00OPY0QGA","2015-11-21","369.99","83.5","0.0","",""
"B00G4DSSN8","2015-12-03","362.32","74.125","1000.0","",""
"B00OPY0QGA","2015-12-03","408.9","74.125","1000.0","",""
"B00GOFU81Q","2015-12-03","197.99","74.125","1000.0","",""
"B00OPY0QGA","2015-12-04","408.39","74.25","1000.0","",""
"B00G4DSSN8","2015-12-04","329","74.25","1000.0","",""
"B00GOFU81Q","2015-12-04","198.7","74.25","1000.0","",""
"B00G4DSSN8","2015-12-05","329","74.5","1000.0","",""
"B00OPY0QGA","2015-12-05","407.7","74.5","1000.0","",""
"B00GOFU81Q","2015-12-05","197.89","74.5","1000.0","",""
"B00OPY0QGA","2015-12-06","407.7","75","1000.0","",""
"B00G4DSSN8","2015-12-06","325","75","1000.0","",""
"B00GOFU81Q","2015-12-06","195","75","1000.0","",""
"B00G4DSSN8","2015-12-07","329","76.25","1000.0","",""
"B00OPY0QGA","2015-12-07","399","76.25","1000.0","",""
